"","parameter","Outfit","Outfit_t","Outfit_p","Outfit_pholm","Infit","Infit_t","Infit_p","Infit_pholm"
"1","GCAPost1",0.854714514342643,-1.94876580458892,0.0513233991884973,1,0.949119035088895,-1.11273387516305,0.265822742197273,1
"2","GCAPost2",0.931484201851934,-0.733616973796988,0.463182212988645,1,1.01675945558917,0.32263373009364,0.746972645748111,1
"3","GCAPost3",1.22961585399394,6.17162268632592,6.759265116827e-10,1.68981627920675e-08,1.16824942477316,6.14066835624962,8.21749889263155e-10,2.05437472315789e-08
"4","GCAPost4",0.934949682295369,-0.827821086937931,0.407771830725351,1,0.963676445999095,-0.778664249361417,0.436177520926799,1
"5","GCAPost5",0.932787164602085,-1.39320802431683,0.163556893947051,1,0.958667392619447,-1.31103995209027,0.189844266131203,1
"6","GCAPost6",0.987282111288615,-0.166891652520728,0.867455301357777,1,0.996438098034569,-0.0738077003555769,0.941163399742557,1
"7","GCAPost7",0.88324048447734,-1.52518315065227,0.127213421998469,1,0.937654348757764,-1.35317342011052,0.176000234574649,1
"8","GCAPost8",0.847222641709403,-1.08287445363731,0.278864152407605,1,0.962748764187887,-0.414785565273446,0.678298887458486,1
"9","GCAPost9",1.02898735402464,0.798666038399628,0.424484084292933,1,1.02210782457593,0.830858306341592,0.406053679595539,1
"10","GCAPost10",0.992647918778505,-0.187553414998402,0.85122674751152,1,0.993337868156116,-0.238756654476078,0.811294282949859,1
"11","GCAPost11",0.956473551916321,-1.0285344669082,0.303698486406373,1,0.957631424644999,-1.47259473187731,0.140860346173711,1
"12","GCAPost12",1.01264533328615,0.293457861481764,0.769172203985735,1,1.00532500759105,0.185219461735755,0.853056904931783,1
"13","GCAPost13",1.00142572517755,0.0389515462081885,0.968929019793738,1,0.963236975183492,-0.64191757923066,0.520926699529067,1
"14","GCAPost14",1.03116902452477,0.542896364043779,0.58720115951698,1,1.02708709093851,0.752213691447566,0.45192256128997,1
"15","GCAPost15",1.07710618481298,2.14563237749591,0.0319023201611051,0.701851043544313,1.05957250938942,2.23719391267575,0.02527366904863,0.581294388118491
"16","GCAPost16",0.887638341605381,-2.32979456970844,0.0198170113184176,0.455791260323606,0.953952202068495,-1.44613316980354,0.148139853814261,1
"17","GCAPost17",1.0542054649835,1.40852680101171,0.158975136646971,1,1.04639270600777,1.68477361733325,0.0920322568881115,1
"18","GCAPost18",0.924699864246243,-1.76511625231945,0.0775442297593477,1,0.943134707774486,-1.96060656750594,0.0499249356719855,1
"19","GCAPost19",1.64623406853173,5.14784203705012,2.63500238828287e-07,6.32400573187888e-06,1.17859138904638,2.74165656124093,0.00611302206575947,0.146712529578227
"20","GCAPost20",0.972712585252137,-0.671451925670098,0.501932675293311,1,0.96922569491287,-1.08782853863275,0.276670808271047,1
"21","GCAPost21",0.974707186165571,-0.605321793151241,0.544965203809125,1,0.972986971261523,-0.94681773829449,0.343731661321698,1
"22","GCAPost22",0.988271257668458,-0.306170301630172,0.759474983170362,1,0.989257562026928,-0.391396966602305,0.69550383415594,1
"23","GCAPost23",0.970786441248618,-0.752432369991478,0.45179108632005,1,0.98241621001907,-0.635203011945305,0.525296019120735,1
"24","GCAPost24",0.92963587406629,-1.81103970948832,0.0701347050487788,1,0.95178064387899,-1.75760410331365,0.0788148946891102,1
"25","GCAPost25",0.99944404400184,0.000168628882863661,0.999865453618495,1,1.00121017727529,0.045192819753322,0.963953617411434,1
