"","Course.Code","count","GCA_pre_mean","GCA_pre_sd","GCA_pos_mean","GCA_pos_sd","GCA_dif_mean","GCA_dif_sd","GCA_std_mean"
"1","BIO3600"," 99","-0.557","0.79","0.39","0.89","0.95","1.01","1.02"
"2","BIOL38321","139","-0.713","0.66","1.03","1.06","1.74","1.07","1.89"
"3","BIOL38322"," 66","-0.936","0.66","0.71","0.88","1.65","0.97","1.79"
"4","BL2330"," 48","-0.590","0.66","0.26","1.07","0.85","0.86","0.92"
"5","GENE3200","371","-0.488","0.68","0.18","0.88","0.66","0.70","0.72"
"6","Genetics020.330","205"," 0.018","0.75","1.14","0.79","1.13","0.83","1.22"
"7","MCDB2150","739","-0.565","0.69","1.23","0.98","1.80","0.90","1.95"
