"","parameter","Outfit","Outfit_t","Outfit_p","Outfit_pholm","Infit","Infit_t","Infit_p","Infit_pholm"
"1","GCAPost1",0.855629342054056,-1.93368811244129,0.0531514863035507,1,0.951281151918069,-1.0592584394323,0.289482096944783,1
"2","GCAPost2",0.939213574877702,-0.643620705814895,0.51982142005555,1,1.01997303127126,0.380245397928782,0.703763262860088,1
"3","GCAPost3",1.2283019844812,6.14482636450895,8.00510348919856e-10,2.00127587229964e-08,1.1688749897356,6.16234419876256,7.16758405268288e-10,1.79189601317072e-08
"4","GCAPost4",0.944590056031889,-0.702408258038871,0.48242459678251,1,0.96788183519425,-0.683778659977782,0.494114943931144,1
"5","GCAPost5",0.935777860456992,-1.33105357125483,0.183171384401819,1,0.961489628349664,-1.22026720188446,0.22236359882702,1
"6","GCAPost6",0.985151522921668,-0.199108098604728,0.842178186295697,1,0.997941091214064,-0.039807711778912,0.968246427995826,1
"7","GCAPost7",0.88462559140235,-1.50160686814669,0.133198668542461,1,0.940234963548815,-1.28972089482001,0.197147582118529,1
"8","GCAPost8",0.864886974106837,-0.949241868257382,0.342497611806506,1,0.968428346139664,-0.344568975038981,0.730418433255362,1
"9","GCAPost9",1.02946084985667,0.813589315664555,0.415880260696035,1,1.02395619298922,0.901054609666477,0.367559284906315,1
"10","GCAPost10",0.989756270735274,-0.26802648866798,0.788678929436201,1,0.990403623799362,-0.348355311900639,0.727573359084841,1
"11","GCAPost11",0.959974603527092,-0.941511977963541,0.346442553954945,1,0.958359572474473,-1.4452011967647,0.148401380354425,1
"12","GCAPost12",1.0144806513619,0.331697846319441,0.740117427087579,1,1.00462262327072,0.160392991167067,0.872571510383506,1
"13","GCAPost13",1.0059283721906,0.0818436074113122,0.934771078669248,1,0.964879539239277,-0.609272140052019,0.542344070376334,1
"14","GCAPost14",1.02494504114452,0.435697170950938,0.66305645859976,1,1.02643620877582,0.73176473414721,0.464312177431557,1
"15","GCAPost15",1.07358929174895,2.04823458627879,0.0405370190384963,0.891814418846919,1.06003545702536,2.25424218539641,0.0241809362377995,0.556161533469387
"16","GCAPost16",0.892421579598096,-2.2224497744086,0.0262529247314711,0.603817268823836,0.954763513057989,-1.4173342117281,0.156385237193887,1
"17","GCAPost17",1.04953757790022,1.28205918501795,0.19982188520772,1,1.04370957089276,1.58378852446927,0.113241851588175,1
"18","GCAPost18",0.921596659829819,-1.83409642323813,0.0666396822779243,1,0.940720187113706,-2.04101490797618,0.0412493453085971,0.907485596789137
"19","GCAPost19",1.67819152223179,5.35879182929211,8.37803216005707e-08,2.0107277184137e-06,1.17814181710173,2.72609997728449,0.00640875830280841,0.153810199267402
"20","GCAPost20",0.970752841129397,-0.723206869093536,0.46955279927888,1,0.96703101124845,-1.16758700549079,0.242973394278229,1
"21","GCAPost21",0.974861843987147,-0.610183338654234,0.541740365450196,1,0.975084436192665,-0.873719202687907,0.382271190785656,1
"22","GCAPost22",0.99281620419801,-0.18512470908261,0.853131221516633,1,0.992111802483619,-0.288269196287108,0.773140684583403,1
"23","GCAPost23",0.970224746841662,-0.769345078648923,0.441688483105637,1,0.980954933872294,-0.690553030068649,0.489846473391036,1
"24","GCAPost24",0.934114358891744,-1.69801464314757,0.0895049981444267,1,0.952868728685806,-1.71633664192149,0.0861004455167488,1
"25","GCAPost25",1.00568024388166,0.130233913232796,0.896381364177066,1,1.00867989820408,0.280191365279004,0.779330690972397,1
