"","Course.Code","count","GCA_pre_mean","GCA_pre_sd","GCA_pos_mean","GCA_pos_sd","GCA_dif_mean","GCA_dif_sd","GCA_std_mean"
"1","BIO3600"," 99","-0.46","0.79","0.36","0.95","0.82","1.05","0.83"
"2","BIOL38321","139","-0.62","0.66","1.06","1.12","1.68","1.14","1.69"
"3","BIOL38322"," 66","-0.84","0.66","0.72","0.93","1.56","1.01","1.58"
"4","BL2330"," 48","-0.49","0.67","0.20","1.12","0.69","0.88","0.70"
"5","GENE3200","371","-0.39","0.68","0.12","0.90","0.51","0.71","0.52"
"6","Genetics020.330","205"," 0.12","0.75","1.15","0.84","1.04","0.86","1.04"
"7","MCDB2150","739","-0.47","0.70","1.28","1.06","1.75","0.97","1.76"
