"","GCAPost8","GCAPost19","GCAPost13","GCAPost2","GCAPost7","GCAPost6","GCAPost1","GCAPost4","GCAPost16","GCAPost14","GCAPost25","GCAPost5","GCAPost12","GCAPost23","GCAPost11","GCAPost18","GCAPost21","GCAPost10","GCAPost22","GCAPost24","GCAPost17","GCAPost9","GCAPost15","GCAPost3","GCAPost20","total_score","outfitMNSQ","infitMNSQ"
"P869",1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,10,0.998134228820051,0.981815295012905
"P873",1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,10,1.05439972727518,1.04823453945017
"P876",1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,10,0.913323546749415,0.938583522026421
"P877",1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,10,1.10080111860986,1.08508478797468
"P890",0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,0.982745428888624,0.96399394008121
"P899",0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,10,1.32755269356255,1.19551220084662
"P900",1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,10,0.902671921135903,0.90113781264498
"P970",0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,10,1.33369792037323,1.29925720510867
"P982",1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,10,0.964948156804252,1.00138618910173
"P1037",0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,0.893315231421459,0.897187063132672
"P1042",1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,10,0.831284041405187,0.87030319924359
"P1137",1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0.796875800650191,0.835940446967068
"P1202",1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,0.909716266423648,0.923287203254667
"P1234",1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0.895188312678566,0.894413150652865
"P1464",1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,10,0.947786091168149,0.991418564191228
"P1494",1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10,0.930883019404092,0.902909662876939
"P1498",1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,10,0.812866700059667,0.831236835530472
"P1522",1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,10,0.894691939842588,0.890805792159148
"P1536",1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,10,1.10864698514988,1.0784400665071
"P1559",1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,10,0.831505914465071,0.85917318595007
"P1592",1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,10,1.13208749540143,1.11951639066513
"P1638",0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,10,1.47705513782342,1.38417075573016
"P1645",1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,10,1.04895343035246,1.04795999257267
"P30",1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,11,0.864002953969349,0.873142637028873
"P33",1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,11,1.26208893396872,1.20687451178287
"P35",1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,11,1.24041981946459,1.2027695183031
"P45",1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,11,0.765456801384652,0.792437808646752
"P84",1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0.83347955585689,0.822261190989184
"P118",1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11,0.830496148258076,0.858227935601432
"P120",1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,11,0.969669029267143,0.98095829886159
"P128",1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,11,1.00124931842396,1.02365120076559
"P139",1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,11,0.969232822407681,1.0003378908574
"P142",1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,11,0.832585585047659,0.864167481146801
"P169",1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,0,11,1.15335811506703,1.16037657971297
"P210",1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,11,0.864244153730861,0.907593166165518
"P286",1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,11,1.13190268452055,1.15308523004589
"P414",1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,11,0.785157453689965,0.803845533786963
"P441",1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,11,1.03411788815079,1.04728752540787
"P480",0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,11,1.26009554990746,1.15791834567616
"P596",0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,11,1.12591150988875,1.10315956498062
"P621",1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,11,0.970695915543057,0.978202414561857
"P625",1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0.820160454046689,0.829635135354802
"P651",1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,11,1.16623970652335,1.16729327007639
"P676",1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,0.702112844755669,0.735086729038997
"P682",0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,11,1.09764789509897,1.0778666759359
"P685",1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,11,0.812674301374515,0.824748101699161
"P707",0,1,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,11,1.05443061234473,1.03819750862523
"P714",1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,11,1.19854943818868,1.18465249825083
"P719",1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,11,0.926277537837406,0.93888308870214
"P750",0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,11,1.25324250406059,1.22060439989069
"P770",1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,11,1.03564961166011,0.976071439934421
"P771",1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11,0.807142556786061,0.850218173315274
"P774",1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,11,0.809748280570188,0.836105494658494
"P776",1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,11,1.01994782348397,1.04506568908816
"P785",1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,11,0.90137706306457,0.927399387069961
"P803",0,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,11,1.11524343101901,1.06659860859394
"P815",0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,11,1.08756323306347,1.07091687404121
"P820",1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,11,0.759938438831992,0.787666965490522
"P825",0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,11,1.07010194782393,1.03088598093174
"P835",1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,11,0.816216447309425,0.836656708232937
"P854",1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,11,1.32326101252451,1.28554837799422
"P865",1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,11,1.0206739693036,1.03619171854782
"P891",0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,11,1.14555637474035,1.09890925683224
"P892",1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,11,0.927061361119256,0.950343636592559
"P894",1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,11,0.931452537362914,0.956081886550484
"P907",1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,11,1.03169690839345,0.978693845377167
"P932",1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,11,0.982454853176272,1.00366426442966
"P941",1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,11,1.19144404174565,1.19455145289114
"P967",1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,11,0.911538540486338,0.938022109924131
"P1014",1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,11,0.750056755890678,0.776341004275885
"P1021",1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,11,0.87168509670968,0.914321692615857
"P1125",1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,11,0.999116590553341,1.02630361774776
"P1170",1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,11,0.996671151177632,0.996943931053772
"P1183",1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,11,0.855638481926417,0.867857831681429
"P1235",1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,11,1.08968558934311,1.10140980702486
"P1310",1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,11,0.846036123405592,0.887910301137727
"P1336",1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,11,0.747588036297311,0.781120588942105
"P1370",1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,11,0.904938383112441,0.899552527280733
"P1371",1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,11,0.976385819617451,1.01319742655605
"P1405",1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,11,0.852030106028183,0.878588898149052
"P1414",1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,11,1.21573903129607,1.22243136802098
"P1458",1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,11,0.784454425776554,0.803270785068664
"P1461",1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,11,1.03422967555606,1.06512771499277
"P1466",1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,11,1.0173054600382,1.03318517460682
"P1508",1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,11,0.791053660871466,0.830289942746591
"P1518",1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,11,0.92781111863519,0.935728340183089
"P1521",1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,11,1.1223732541404,1.1136184850007
"P1527",1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,11,1.12933572994993,1.09367597520596
"P1548",1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,11,0.812710449024595,0.840246296156034
"P1553",1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,11,0.917597255535301,0.90054504797567
"P1560",0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,11,1.17723275097492,1.13221858258088
"P1579",0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,11,0.990764929519886,0.954839751410615
"P1580",1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,11,0.918815365597685,0.956495752053625
"P1622",1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,11,0.857650503161125,0.8576565678183
"P1627",1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,11,0.916644055679517,0.943357241265311
"P1633",0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,11,1.19769250070851,1.14794372528366
"P23",1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,12,0.905518530906538,0.937020049787969
"P29",1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,12,0.937318658422144,0.959991344666858
"P31",1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,12,1.1361813732572,1.11748079172424
"P36",1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,12,1.02138009965306,1.03880327401103
"P80",1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,12,1.04354518364329,1.06756750278212
"P89",1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,12,0.873216881919234,0.903215310347102
"P93",1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,12,1.12732433399212,1.13305541394398
"P96",0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,12,1.15716946701882,1.0684610068086
"P106",1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,12,1.06471037870565,1.05562060106682
"P153",1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,12,0.785234274863429,0.799984217395657
"P165",0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,12,0.939939609720914,0.900215292574405
"P254",1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,12,0.863818603188513,0.879054799189816
"P276",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,12,1.03992406298774,1.05229202195765
"P338",1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,12,0.958999412125446,0.988312132480751
"P354",0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,12,1.24053616346346,1.19726571751276
"P365",0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,12,1.27971162405562,1.22964250999659
"P448",1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,12,0.902035633586443,0.933955600101293
"P460",1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,12,0.900596568723304,0.906380750030516
"P479",1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,12,0.975332641563891,1.00581961242407
"P580",1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,12,1.12826728603677,1.11252401313238
"P629",1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,12,0.778511472738609,0.792797310131796
"P657",1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,12,0.840897593648461,0.876396953298388
"P679",1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,12,1.18378037564896,1.18576053298926
"P681",0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,12,1.26079705672027,1.20823577419047
"P696",1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,12,1.10902066620423,1.12559234297365
"P712",0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,12,1.03770218200002,0.98858879241208
"P733",0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,12,0.978064251842189,0.930814236775187
"P783",1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,12,1.15607713492674,1.14374766844132
"P789",0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,12,1.10501876270597,1.05088195924703
"P791",0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,12,1.17002631446121,1.1180042113925
"P792",1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,12,1.08362401306668,1.11381167174461
"P798",1,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,12,0.930214695107112,0.953778262876264
"P842",1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,12,0.821053326718852,0.849763203432806
"P896",0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,12,1.2590635581603,1.21264767223485
"P904",0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,12,1.16430356195629,1.09622329054855
"P923",1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,12,0.800384710579871,0.830715555643597
"P963",0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,12,1.16935584622971,1.0955732057364
"P969",1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,12,0.783151839899072,0.818493106971499
"P1006",1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,12,1.16014169228107,1.16211677425266
"P1082",1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,12,0.83703539741082,0.864751803508103
"P1109",1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,12,1.10348053782297,1.11942642907918
"P1112",0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,12,1.2419678736743,1.19710361488266
"P1146",1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,12,0.984032223516504,0.980825102067633
"P1232",1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,12,0.923587210600926,0.943684067666482
"P1257",1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,12,1.07927872236508,1.09570246168793
"P1268",1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,12,0.962685785380209,1.00604182862333
"P1291",1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,12,0.694078942451994,0.724463086139123
"P1319",1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,12,1.06689926110702,1.05146769642589
"P1328",1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,12,0.759287566108029,0.793031741060333
"P1342",1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,12,1.04231673674253,1.04619645118649
"P1347",1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,12,1.01684879741283,1.03678976541083
"P1365",1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,12,1.09984347101731,1.10993297588924
"P1379",1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,12,0.763820293196536,0.789775330283367
"P1437",1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,12,0.977058991930924,0.962598653184587
"P1446",1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,12,0.994498474869991,1.0242126934208
"P1469",1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0.736463592487005,0.761806617689711
"P1497",1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,12,1.26349143880631,1.24202041180002
"P1506",1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,12,1.0327418886048,1.00886719962108
"P1534",1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,12,0.996001683449825,1.01111545145823
"P1547",0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,12,1.38688209835392,1.3067897597646
"P1555",1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,12,0.8184011900358,0.845694149157644
"P1557",0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,12,1.27715826789865,1.19444747925586
"P1558",1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,12,1.11056036391833,1.07839674339543
"P1575",1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,12,1.00227002172477,1.02203782345192
"P1590",1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,12,0.985609650539314,0.99075001278721
"P1617",1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,12,0.839855555857448,0.869321683714014
"P1619",1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,12,0.911941026211586,0.919724090517904
"P1621",1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0.689864030678552,0.718929165622792
"P1632",1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,12,0.997886898931462,1.01904514686118
"P1640",1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,12,0.978850497274394,0.998532051154456
"P1650",1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,12,0.948443189006864,0.978191966153619
"P1651",1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,12,0.885752050726237,0.924204516776486
"P1655",1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,12,1.20241736735888,1.18027129796972
"P1657",1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,12,1.00529067749009,1.00026587593108
"P1666",1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,12,0.930332466301978,0.934760517085795
"P4",0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,13,1.40676474811715,1.29227369789639
"P48",1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,13,1.1551844745694,1.13437703106598
"P51",1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,13,0.819435976009048,0.853912531563602
"P53",1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,13,1.02553033122619,1.03946110254362
"P60",1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,13,0.907683389389589,0.946424738638271
"P68",1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,13,0.773330069774376,0.804095570103846
"P78",1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,13,0.796174977080323,0.832511205633819
"P81",1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,13,1.11550473594885,1.12843534939722
"P88",1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,13,0.975970269389016,0.984477804147291
"P103",1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,13,1.0308498462147,1.04751398251419
"P112",1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,13,1.05104666461365,1.06622617554345
"P144",1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,13,0.960704566559511,0.970893149023286
"P151",1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,13,1.11824799080098,1.12576832143406
"P211",1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,13,0.832493309879953,0.842530049026513
"P229",1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,13,1.04831546970332,1.08071730165964
"P233",1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,13,0.831877532167691,0.868823017184906
"P256",1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,13,1.32407929589481,1.28030128691474
"P263",1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,13,0.955853055881177,0.961068775810387
"P330",1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,13,0.88503254586368,0.910827783296934
